timestamp,Total Rooms,Out of Service,Available Rooms,Occupied Rooms,Occupied Percent,Room Revenue,Average Daily Rate ADR,Market ADR,Revenue Per Available Room RevPAR,Market Rev Difference,Market RevPar,Average Occupancy Rate AOR,Reservations,Music Decibles,Light Lumens,Avg Table Turn Time Minutes,Plate Speed Average RFID,Beverage Speed Average RFID,Take Out Food Average Hold Time,Third Party Delivery Times,MAC Address Dwell,Average Guest Age,Facial Sentiment Score,Guest Recognition,Menu Browse Minutes,Food COGS %,Beverage COGS %,Gross Operating Profit per Available Room GOPPAR,Market Penetration Index MPI,Average Rate Index,Revenue Generation Index RGI,Market Cost per Booking,Sentiment Analysis,Direct Revenue Ratio DRR,Web Conversion,Segmentation,Outlet Net Revenue,Total Revenue,Total Revenue per Available Room TREVPAR
2020-01-01,81,3.0,78.0,78.0,0.963,11786.0,150.0,15150.0,151.0,110,261.0,1.0,101,35,350,69.47999999999985,71.1999999999997,71.1999999999997,71.1999999999997,44.66,43.33,30.0,0.75,0.75,22.973333333333244,25.15,18.8,23.87,1.0467391304347826,0.009900990099009901,0.578544061302682,0.23,0.75,0.22000000000000003,0.024999999999999998,,1650.0399999999997,13436.039999999999,172.25692307692307
2020-01-02,81,3.0,78.0,78.78029585107078,0.9726,11786.780295851071,150.01721335615582,15159.482387602942,151.0,122,273.0,1.01,101,35,350,69.47999999999985,71.1999999999997,71.1999999999997,71.1999999999997,45.97999999999999,43.33,30.051619667223253,0.75,0.75,22.38666666666658,25.16,18.81,24.271487989205973,1.451641791044776,0.009895932428328574,0.5531135531135531,0.2,0.75,0.05,0.034999999999999996,,2828.827271004256,14615.607566855328,187.37958419045293
2020-01-03,81,3.0,78.0,78.97601055063237,0.975,11786.976010550632,150.03442161162275,15168.945386317599,151.0,121,272.0,1.01,101,35,350,69.25999999999985,70.7599999999997,70.7599999999997,70.7599999999997,46.199999999999996,43.879999999999995,30.103101697447435,0.752,0.752,21.799999999999915,25.17,18.82,24.605417022963987,1.059782608695652,0.009890893387153593,0.5551470588235294,0.36,0.752,0.24000000000000005,0.005,,2003.7859217936073,13790.76193234424,176.80464015825947
2020-01-04,81,3.0,78.0,78.44051878435049,0.9684,11786.440518784351,150.05161966722326,15178.367874859165,151.0,100,251.0,1.01,101,35,350,69.25999999999985,70.7599999999997,70.7599999999997,70.7599999999997,46.63999999999999,44.53999999999999,30.15430882066428,0.752,0.752,21.62666666666659,25.18,18.83,24.815596387427142,1.3265753424657536,0.009885886341953979,0.601593625498008,0.14,0.752,0.35000000000000003,0.005,,2828.7457245082437,14615.186243292595,187.37418260631532
2020-01-05,81,3.0,78.0,77.57499966003044,0.9577,11785.57499966003,150.0688024268023,15187.728831774666,151.0,109,260.0,0.99,102,35,350,69.25999999999985,70.31999999999971,70.31999999999971,70.31999999999971,46.86,44.75999999999999,30.205104499868618,0.752,0.752,20.599999999999927,25.19,18.84,24.86665890175417,1.4083823529411763,0.009880924533814379,0.5807692307692308,0.41,0.752,0.15000000000000002,0.034999999999999996,,3417.8167499014075,15203.391749561437,194.91527884053124
2020-01-06,81,3.0,78.0,77.02788180337095,0.951,11785.027881803371,150.08596479873745,15197.007390334531,151.0,125,276.0,0.99,102,35,350,69.03999999999985,69.9599999999997,69.9599999999997,69.9599999999997,46.96999999999999,44.87,30.255353295116187,0.754,0.754,20.453333333333262,25.2,18.85,24.750012203973537,1.4194029850746268,0.009876021044392847,0.5471014492753623,0.3,0.754,0.23000000000000004,0.024999999999999998,,2474.8558551787073,14259.88373698208,182.819022269001
2020-01-07,81,3.0,78.0,77.20905434324322,0.9532,11785.209054343242,150.10310169744744,15206.182893036483,151.0,-45,106.0,0.99,102,35,350,69.03999999999985,69.9599999999997,69.9599999999997,69.9599999999997,47.07999999999999,45.089999999999996,30.30492122465629,0.7560000000000001,0.7560000000000001,19.95999999999994,25.21,18.86,24.48528459996333,1.4017647058823528,0.009871188762709518,1.4245283018867925,0.27,0.7560000000000001,0.37000000000000005,0.024999999999999998,,2003.485539238351,13788.694593581593,176.77813581514863
2020-01-08,81,3.0,78.0,77.98278664384416,0.9628,11785.982786643845,150.12020804489936,15215.234945576465,151.0,-55,96.0,1.0,103,35,350,69.03999999999985,69.43999999999971,69.43999999999971,69.43999999999971,47.15999999999997,45.089999999999996,30.35367612217637,0.7580000000000001,0.7580000000000001,19.747747747747677,25.22,18.87,24.117022180480937,1.4812307692307691,0.009866440352834899,1.5729166666666667,0.34,0.7580000000000001,0.37000000000000005,0.04499999999999999,,2592.916213061645,14378.898999705489,184.34485897058318
2020-01-09,81,3.0,78.0,78.76941482688393,0.9725,11786.769414826884,150.13727877211326,15224.143470142513,151.0,125,276.0,1.01,104,35,350,68.81999999999985,69.0799999999997,69.0799999999997,69.0799999999997,47.19,45.2,30.40148798920597,0.7580000000000001,0.7580000000000001,19.639639639639565,25.22,18.87,23.707192987061486,1.3506944444444446,0.00986178822254017,0.5471014492753623,0.2,0.7580000000000001,0.27,0.034999999999999996,,2121.6184946688386,13908.387909495723,178.31266550635542
2020-01-10,81,3.0,78.0,78.9796136916455,0.9751,11786.979613691645,150.15430882066428,15232.888757889265,151.0,99,250.0,1.01,104,35,350,68.81999999999985,69.0799999999997,69.0799999999997,69.0799999999997,47.629999999999995,45.74999999999999,30.44822934174041,0.7580000000000001,0.7580000000000001,19.519999999999943,25.23,18.88,23.32475956145935,1.500153846153846,0.009857244492965779,0.604,0.19,0.7580000000000001,0.29000000000000004,0.034999999999999996,,2593.1355150121612,14380.115128703806,184.36045036799752
